u_centreline,y
-0.000000000000000000e+00,0.000000000000000000e+00
2.842031781665627782e-02,5.000000000000000278e-02
5.285791277145444195e-02,1.000000000000000056e-01
7.540214602278241807e-02,1.500000000000000222e-01
9.734919614283568667e-02,2.000000000000000111e-01
1.192540337148606799e-01,2.500000000000000000e-01
1.408589585240171416e-01,3.000000000000000444e-01
1.609837941078905987e-01,3.500000000000000333e-01
1.774912142539378235e-01,4.000000000000000222e-01
1.874574912354158296e-01,4.500000000000000111e-01
1.876443088286654515e-01,5.000000000000000000e-01
1.752458379444560288e-01,5.500000000000000444e-01
1.486871756953971335e-01,6.000000000000000888e-01
1.080595335995946371e-01,6.500000000000000222e-01
5.469559734892781577e-02,7.000000000000000666e-01
-1.062359225871878365e-02,7.500000000000000000e-01
-9.147566145716423680e-02,8.000000000000000444e-01
-2.020979576895175212e-01,8.500000000000000888e-01
-3.731771878441690338e-01,9.000000000000000222e-01
-6.421016044934201306e-01,9.500000000000000666e-01
-1.000000000000000000e+00,1.000000000000000000e+00
